"","artistName","freq"
"567","Franz Liszt",2
"568","Gareth Emery",2
"569","Gatlin",2
"570","Gavin James",2
"571","Glades",2
"572","Glass Animals",2
"573","Group 1 Crew",2
"574","Gungor",2
"575","Heather Headley",2
"576","Hot Chelle Rae",2
"577","Ian Munsick",2
"578","ILLENIUM",2
"579","Jake Bugg",2
"580","James Harris",2
"581","James Smith",2
"582","Jamie Grace",2
"583","Jason Aldean",2
"584","Jason Gray",2
"585","Jay Joseph",2
"586","Jill Pitz",2
"587","Jimmy Needham",2
"588","Jodi Benson",2
"589","Joey Stamper",2
"590","John Bladh",2
"591","John Lennon",2
"592","Jon Batiste",2
"593","Jonathan Groff",2
"594","Jonathan Thulin",2
"595","Jonny Diaz",2
"596","Josh Baldwin",2
"597","Josh Kerr",2
"598","Joshua Howard",2
"599","Joshua Micah",2
"600","JUDAH.",2
"601","Judy Garland",2
"602","Juice WRLD",2
"603","Jules Amaro",2
"604","Kat & Alex",2
"605","Kelleigh Bannen",2
"606","Ken Dorset",2
"607","Kesha",2
"608","Khalid",2
"609","KJ-52",2
"610","Kristin Chenoweth",2
"611","Leaving Austin",2
"612","Leslie Odom Jr.",2
"613","Lewis Capaldi",2
"614","Lindsey Lomis",2
"615","Logic",2
"616","Loote",2
"617","Lost Stars",2
"618","Louis Landon",2
"619","lovelytheband",2
"620","Made For This with Jennie Allen",2
"621","Madilyn",2
"622","Madison Ryann Ward",2
"623","Måneskin",2
"624","Manny Heights",2
"625","Maranatha! Music",2
"626","Mark Ronson",2
"627","Mark Summer",2
"628","Megan Brown",2
"629","Melodores",2
"630","Michael Ray",2
"631","Michael W. Smith",2
"632","Mike Posner",2
"633","Morgan Evans",2
"634","Mumford & Sons",2
"635","Natalie Grant",2
"636","Nelly",2
"637","Nick Gardner",2
"638","Olivia Holt",2
"639","Olivia Newton-John",2
"640","Olly Murs",2
"641","Outsider Heart",2
"642","Parmalee",2
"643","PRETTYMUCH",2
"644","Rachel Bochner",2
"645","Rapture Ruckus",2
"646","RAYE",2
"647","Remedy Drive",2
"648","Rossini Hayward",2
"649","Ryn Weaver",2
"650","Sam Feldt",2
"651","Sandro Cavazza",2
"652","Sarah Brooks",2
"653","Sarcastic Sounds",2
"654","SAYGRACE",2
"655","Scientist",2
"656","Scorpions",2
"657","Sea Creatures - The Little Mermaid Original Broadway Cast",2
"658","Shane Harper",2
"659","shmavana shmantos",2
"660","Sidewalk Prophets",2
"661","Silk City",2
"662","Sody",2
"663","Son Lux",2
"664","Superchick",2
"665","Surfaces",2
"666","The All-American Rejects",2
"667","The Band Perry",2
"668","The Cocktails",2
"669","Thomas Jack",2
"670","Tom T. Hall",2
"671","Train",2
"672","Trip Lee",2
"673","University of Rochester YellowJackets",2
"674","Up First",2
"675","WATTS",2
"676","Witt Lowry",2
"677","X Ambassadors",2
"678","Zachary Knowles",2
"679","Zendaya",2
"680","*NSYNC",1
"681","1GN",1
"682","24kGoldn",1
"683","Aaron Cole",1
"684","Abandon Kansas",1
"685","Abby Anderson",1
"686","Adam Craig",1
"687","Adam Hambrick",1
"688","Adam Hicks",1
"689","Adam Melchor",1
"690","Adeline Hill",1
"691","Aisha Badru",1
"692","Akira Kosemura",1
"693","Alana Springsteen",1
"694","Alena Cherny",1
"695","alex",1
"696","Alex Angelo",1
"697","Alex Hall",1
"698","Alexa Cappelli",1
"699","Alexander 23",1
"700","Alina Baraz",1
"701","Alina Yanovna",1
"702","Allen Stone",1
"703","Alonestar",1
"704","Amy Krampf",1
"705","Amy Shark",1
"706","Anberlin",1
"707","Anchor + Bell",1
"708","Andrew Lloyd Webber",1
"709","Andrew Peterson",1
"710","Andrey Jackson",1
"711","Anna Golden",1
"712","Ant Clemons",1
"713","Apollo LTD",1
"714","Arthur Mass",1
"715","Artist Vs Poet",1
"716","Ashley Cooke",1
"717","Ashley McBryde",1
"718","Austin Burke",1
"719","Austin Mahone",1
"720","Austin Plaine",1
"721","Avalon",1
"722","Avril Lavigne",1
"723","Axel Flóvent",1
"724","Axwell /\ Ingrosso",1
"725","Ayoni",1
"726","Beach Bunny",1
"727","Bear's Den",1
"728","Becky Jane Taylor/Simon Hale",1
"729","Ben Cantelon",1
"730","Ben Crosland",1
"731","Benedict Cork",1
"732","Beren Olivia",1
"733","Beth Fowler",1
"734","binki",1
"735","Birds at Night",1
"736","Black Sabbath",1
"737","Bob Merrill",1
